date,strategy,spy
2020-06-01,100431.02595278775,117528.58279910116
2020-06-02,101916.44321740938,118501.73815138536
2020-06-03,103316.26535655902,120078.78666140723
2020-06-04,102271.7428229611,119763.34886600355
2020-06-05,106041.1349715624,122832.82090547324
2020-06-08,107112.46254695422,124317.58259874415
2020-06-09,106759.68117510327,123390.56426997195
2020-06-10,106989.13758494798,122702.02059220629
2020-06-11,99265.99716765061,115628.39634831781
2020-06-12,100855.57262135226,117013.145540026
2020-06-15,101439.26665675273,118105.51906322304
2020-06-16,103275.56827131749,120378.79862664141
2020-06-17,103241.56194824059,119878.76165828184
2020-06-18,103485.99348700533,119924.92422124778
2020-06-19,102853.91581309252,119239.56020549555
2020-06-22,104246.31139606165,120004.49238994507
2020-06-23,105100.60798701839,120556.96185720866
2020-06-24,101683.04684675988,117481.73067087932
2020-06-25,102906.5452988364,118741.18330164101
2020-06-26,99459.73315211263,115920.88694437161
2020-06-29,101283.76166572886,117624.63668530578
2020-06-30,102861.77858848471,119131.34953922355
2020-07-01,103978.0756084011,119965.83842643251
2020-07-02,104274.84229417154,120626.50579024115
2020-07-06,106260.02336274952,122488.66399413308
2020-07-07,105220.48807823585,121225.34213610206
2020-07-08,106169.08800224311,122152.53924105172
2020-07-09,106067.74937569984,121457.12545018077
2020-07-10,107492.2565238057,122697.27025377662
2020-07-13,105697.2051180084,121634.84174030437
2020-07-14,106884.86319308642,123211.09852725462
2020-07-15,107737.14984499254,124343.0582040324
2020-07-16,107062.84740864644,123933.53306037615
2020-07-17,107125.72208659392,124292.86040734664
2020-07-20,108860.0885912764,125297.33989986747
2020-07-21,108628.85619381696,125563.90795018939
2020-07-22,109913.86563105532,126278.65510768008
2020-07-23,107393.13437006416,124771.94225376232
2020-07-24,106567.41821447562,123968.33056634633
2020-07-27,108526.82529748467,124872.3889260417
2020-07-28,106157.41475984134,124080.39769016071
2020-07-29,107904.54301590906,125606.40560151734
2020-07-30,107285.09323735157,125158.27757325642
2020-07-31,109282.23530251466,126147.29292642683
2020-08-03,110330.56885020973,127024.26669523682
2020-08-04,111610.7847002345,127514.91791427962
2020-08-05,112830.9429809651,128306.9219198876
2020-08-06,114444.8213672808,129164.5878615317
2020-08-07,113760.3560618453,129257.30884899937
2020-08-10,115043.49725402519,129643.64416849348
2020-08-11,113555.11070709716,128573.47720048254
2020-08-12,116015.83093388601,130366.06593188806
2020-08-13,116000.29872225242,130130.43892999394
2020-08-14,116154.56878195026,130134.30815726328
2020-08-17,117066.11644353982,130547.66421900796
2020-08-18,117035.30514777041,130829.68363895333
2020-08-19,116587.6021076219,130284.95262622843
2020-08-20,116929.66633894833,130690.59577288838
2020-08-21,117660.51425394176,131154.21347995364
2020-08-24,120163.65547352901,132483.22281347477
2020-08-25,120300.79833905089,132946.84052054005
2020-08-26,122364.38904435054,134279.71908133052
2020-08-27,122251.64957308752,134573.29510417607
2020-08-28,123952.68861751878,135442.55595790126
2020-08-31,123466.82753366229,134951.93027831236
2020-09-01,125340.66263782298,136223.00336060903
2020-09-02,126968.46490220373,138193.3339215921
2020-09-03,121275.59336511845,133437.4789698559
2020-09-04,120161.40971026487,132348.02971413307
2020-09-08,116253.89481704708,128731.87289371336
2020-09-09,119072.14437303679,131273.98074912583
2020-09-10,116969.64154442147,128994.59725621984
2020-09-11,116743.27938366646,129060.25919225604
2020-09-14,118565.05171508936,130760.13970592084
2020-09-15,119393.53057180738,131420.81983945644
2020-09-16,118574.43338492565,130899.24034171278
2020-09-17,117579.07567460887,129747.94729831525
2020-09-18,115490.89904355371,128254.19571726344
2020-09-21,114018.75428182012,126826.82117695764
2020-09-22,116003.661298054,128118.44074993541
2020-09-23,112661.40202013166,125147.25729888861
2020-09-24,113219.91863822936,125480.84087630465
2020-09-25,115601.42266914662,127509.45247114009
2020-09-28,118197.4834562178,129627.29891798273
2020-09-29,117290.39681720003,128921.33733264155
2020-09-30,118271.30293403589,129898.87270127356
2020-10-01,119677.79644962262,130732.78695076927
2020-10-02,117772.54687890815,129491.54395065473
2020-10-05,120733.15097387857,131787.8473317847
2020-10-06,118952.2636706002,129914.33684062396
2020-10-07,122052.48543434925,132175.7150185142
2020-10-08,123831.07444715327,133347.14592133005
2020-10-09,125407.4906053314,134537.94849994656
2020-10-12,128011.16122000184,136702.31506211005
2020-10-13,126892.73070047927,135810.2347063046
2020-10-14,126408.24291741797,134956.85939291952
2020-10-15,126352.32368218967,134790.09952852892
2020-10-16,126622.9074497571,134708.60313106043
2020-10-19,123907.86450766938,132660.5560117895
2020-10-20,124753.16209022343,133191.9937387475
